1000,724359,2997,243451,19952,61898,64685,272650
900,587445,2697,197613,17752,55588,44356,232707
800,446532,2397,150442,15552,50246,54549,195390
700,352164,2097,118786,13352,43266,26667,147497
600,255759,1797,86451,11152,37132,28625,102455
500,167952,1497,56982,8976,31592,15516,66176
400,110895,1197,37763,6976,24666,11559,47039
300,58323,897,20039,4976,18654,10591,30755
200,23877,597,8357,3088,12430,3748,15680
100,4860,297,1818,1344,5662,1648,4211
