Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
12,2007,Montreal Canadiens,Ryan McDonagh,18,D,US,Cretin-Derham Hall (High-MN),824,72,276,348,316,,,,,,2022-23
13,2007,St. Louis Blues,Lars Eller,18,C,DK,Frolunda HC Jr. (Sweden Jr.),920,160,203,363,555,,,,,,2022-23
14,2007,Colorado Avalanche,Kevin Shattenkirk,18,D,US,USA U-18 Development Team (USDP/NAHL),859,93,351,444,508,,,,,,2022-23
15,2007,Edmonton Oilers,Alex Plante,18,D,CA,Calgary Hitmen (WHL),10,0,2,2,15,,,,,,2011-12
16,2007,Minnesota Wild,Colton Gillies,18,LW,CA,Saskatoon Blades (WHL),154,6,12,18,72,,,,,,2012-13
17,2007,New York Rangers,Alexei Cherepanov,18,RW,RU,Avangard Omsk (Russia),,,,,,,,,,,
18,2007,St. Louis Blues,Ian Cole,18,D,US,USA U-18 Development Team (USDP/NAHL),715,32,147,179,665,,,,,,2022-23
19,2007,Anaheim Ducks,Logan MacMillan,18,C,CA,Halifax Mooseheads (QMJHL),,,,,,,,,,,
20,2007,Pittsburgh Penguins,Angelo Esposito,18,C,CA,Quebec Remparts (QMJHL),,,,,,,,,,,
21,2007,Edmonton Oilers,Riley Nash,18,C,CA,Salmon Arm (BCHL),627,63,113,176,144,,,,,,2021-22
22,2007,Montreal Canadiens,Max Pacioretty,18,LW,US,Sioux City Musketeers (USHL),855,326,319,645,468,,,,,,2022-23
23,2007,Nashville Predators,Jonathon Blum,18,D,US,Vancouver Giants (WHL),110,7,17,24,22,,,,,,2014-15
24,2007,Calgary Flames,Mikael Backlund,18,C,SE,VIK Vasteras HK (Sweden-2),876,175,290,465,423,,,,,,2022-23
25,2007,Vancouver Canucks,Patrick White,18,C,US,Tri-City Storm (USHL),,,,,,,,,,,
26,2007,St. Louis Blues,David Perron,19,LW,CA,Lewiston MAINEiacs (QMJHL),1021,283,412,695,748,,,,,,2022-23
27,2007,Detroit Red Wings,Brendan Smith,18,D,CA,St. Michael's (OPJHL),619,33,90,123,685,,,,,,2022-23
28,2007,San Jose Sharks,Nicholas Petrecki,18,D,US,Omaha Lancers (USHL),1,0,0,0,0,,,,,,2012-13
29,2007,Ottawa Senators,Jim O'Brien,18,C,US,Minnesota (WCHA),77,8,5,13,16,,,,,,2017-18
30,2007,Phoenix Coyotes,Nick Ross,18,D,CA,Regina Pats (WHL),,,,,,,,,,,
31,2007,Buffalo Sabres,T.J. Brennan,18,D,US,St. John's Fog Devils (QMJHL),53,5,8,13,29,,,,,,2015-16
32,2007,Phoenix Coyotes,Brett Maclean,18,LW,CA,Oshawa Generals (OHL),18,2,3,5,4,,,,,,2011-12
33,2007,Vancouver Canucks,Taylor Ellington,18,D,CA,Everett Silvertips (WHL),,,,,,,,,,,
34,2007,Washington Capitals,Josh Godfrey,19,D,CA,Soo Greyhounds (OHL),,,,,,,,,,,
35,2007,Boston Bruins,Tommy Cross,18,D,US,Westminster School (High-CT),3,0,1,1,0,,,,,,2016-17
36,2007,Phoenix Coyotes,Joel Gistedt,19,G,SE,Frolunda HC (Sweden),,,,,,,,,,,
37,2007,Columbus Blue Jackets,Stefan Legein,18,RW,CA,Mississagua IceDogs (OHL),,,,,,,,,,,
38,2007,Chicago Blackhawks,Bill Sweatt,18,LW,US,Colorado College (WCHA),3,0,0,0,0,,,,,,2012-13
39,2007,St. Louis Blues,Simon Hjalmarsson,18,RW,SE,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,
40,2007,Florida Panthers,Michal Repik,18,RW,CZ,Vancouver Giants (WHL),72,9,11,20,36,,,,,,2011-12
41,2007,Philadelphia Flyers,Kevin Marshall,18,D,CA,Lewiston MAINEiacs (QMJHL),10,0,0,0,8,,,,,,2011-12
42,2007,Anaheim Ducks,Eric Tangradi,18,C,US,Belleville Bulls (OHL),150,5,11,16,86,,,,,,2018-19
43,2007,Montreal Canadiens,P.K. Subban,18,D,CA,Belleville Bulls (OHL),834,115,352,467,905,,,,,,2021-22
44,2007,St. Louis Blues,Aaron Palushaj,18,RW,US,Des Moines Buccaneers (USHL),68,3,11,14,18,,,,,,2013-14
45,2007,Colorado Avalanche,Colby Cohen,18,D,US,Lincoln Stars (USHL),3,0,0,0,4,,,,,,2010-11
46,2007,Washington Capitals,Theo Ruth,18,D,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
47,2007,Tampa Bay Lightning,Dana Tyrell,18,C/RW,CA,Prince George Cougars (WHL),135,7,17,24,26,,,,,,2014-15
48,2007,New York Rangers,Antoine Lafleur,18,G,CA,Prince Edward Island Rocket (QMJHL),,,,,,,,,,,
49,2007,Colorado Avalanche,Trevor Cann,18,G,CA,Peterborough Petes (OHL),,,,,,,,,,,
50,2007,Dallas Stars,Nico Sacchetti,18,C,US,Virginia HS (High-MN),,,,,,,,,,,
51,2007,Pittsburgh Penguins,Keven Veilleux,18,C,CA,Victoriaville Tigres (QMJHL),,,,,,,,,,,
52,2007,Los Angeles Kings,Oscar Moller,18,C,SE,Chilliwack Bruins (WHL),87,12,14,26,22,,,,,,2010-11
53,2007,Columbus Blue Jackets,Will Weber,18,D,US,Gaylord HS (High-MI),,,,,,,,,,,
54,2007,Nashville Predators,Jeremy Smith,18,G,US,Plymouth Whalers (OHL),10,0,0,0,0,1,6,1,3.54,0.888,2016-17
55,2007,Colorado Avalanche,T.J. Galiardi,19,LW,CA,Dartmouth (ECAC),321,44,61,105,136,,,,,,2014-15
56,2007,Chicago Blackhawks,Akim Aliu,18,RW,NG,Sudbury Wolves (OHL),7,2,1,3,26,,,,,,2012-13
57,2007,New Jersey Devils,Mike Hoeffel,18,LW,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
58,2007,Nashville Predators,Nick Spaling,18,C,CA,Kitchener Rangers (OHL),437,52,72,124,120,,,,,,2015-16
59,2007,Buffalo Sabres,Drew Schiestel,18,D,CA,Mississagua IceDogs (OHL),,,,,,,,,,,
60,2007,Ottawa Senators,Ruslan Bashkirov,18,LW,RU,Quebec Remparts (QMJHL),,,,,,,,,,,
61,2007,Los Angeles Kings,Wayne Simmonds,19,RW,CA,Owen Sound Attack (OHL),1031,263,262,525,1293,,,,,,2022-23
1,2006,St. Louis Blues,Erik Johnson,18,D,US,USA U-18 Development Team (USDP/NAHL),905,88,248,336,512,,,,,,2022-23
2,2006,Pittsburgh Penguins,Jordan Staal,18,C,CA,Peterborough Petes (OHL),1140,271,363,634,539,,,,,,2022-23
3,2006,Chicago Blackhawks,Jonathan Toews,18,C,CA,North Dakota (WCHA),1060,371,509,880,601,,,,,,2022-23
4,2006,Washington Capitals,Nicklas Backstrom,18,C,SE,Brynas IF (Sweden),1067,265,751,1016,490,,,,,,2022-23
5,2006,Boston Bruins,Phil Kessel,18,RW,US,Minnesota (WCHA),1255,408,569,977,392,,,,,,2022-23
6,2006,Columbus Blue Jackets,Derick Brassard,18,C,CA,Drummondville Voltigeurs (QMJHL),990,210,325,535,455,,,,,,2022-23
7,2006,New York Islanders,Kyle Okposo,18,RW,US,Des Moines Buccaneers (USHL),951,226,358,584,504,,,,,,2022-23
8,2006,Phoenix Coyotes,Peter Mueller,18,C,US,Everett Silvertips (WHL),297,63,97,160,98,,,,,,2012-13
9,2006,Minnesota Wild,James Sheppard,18,C,CA,Cape Breton Screaming Eagles (QMJHL),394,23,68,91,192,,,,,,2014-15
10,2006,Florida Panthers,Michael Frolik,18,LW,CZ,HC Kladno (Czech),858,159,225,384,317,,,,,,2020-21
11,2006,Los Angeles Kings,Jonathan Bernier,18,G,CA,Lewiston MAINEiacs (QMJHL),404,0,8,8,14,165,163,40,2.77,0.912,2021-22
12,2006,Atlanta Thrashers,Bryan Little,18,RW,CA,Barrie Colts (OHL),843,217,304,521,293,,,,,,2019-20
13,2006,Toronto Maple Leafs,Jiri Tlusty,18,C,CZ,HC Kladno (Czech),446,89,88,177,126,,,,,,2015-16
14,2006,Vancouver Canucks,Michael Grabner,18,RW,AT,Spokane Chiefs (WHL),640,175,101,276,110,,,,,,2019-20
15,2006,Tampa Bay Lightning,Riku Helenius,18,G,FI,Ilves Jr. (Finland Jr.),1,0,0,0,0,0,0,0,0,1.000,2008-09
16,2006,San Jose Sharks,Ty Wishart,18,D,CA,Prince George Cougars (WHL),26,1,5,6,10,,,,,,2011-12
17,2006,Los Angeles Kings,Trevor Lewis,19,C,US,Des Moines Buccaneers (USHL),860,89,115,204,193,,,,,,2022-23
18,2006,Colorado Avalanche,Chris Stewart,18,RW,CA,Kingston Frontenacs (OHL),668,160,162,322,750,,,,,,2019-20
19,2006,Anaheim Ducks,Mark Mitera,18,D,US,Michigan (CCHA),,,,,,,,,,,
20,2006,Montreal Canadiens,David Fischer,18,D,US,Apple Valley HS (High-MN),,,,,,,,,,,
21,2006,New York Rangers,Bobby Sanguinetti,18,D,US,Owen Sound Attack (OHL),45,2,4,6,8,,,,,,2012-13
22,2006,Philadelphia Flyers,Claude Giroux,18,RW,CA,Gatineau Olympiques (QMJHL),1067,313,657,970,430,,,,,,2022-23
23,2006,Washington Capitals,Semyon Varlamov,18,G,RU,Lokomotiv Yaroslavl 2 (Russia-3),576,0,8,8,24,270,217,63,2.64,0.916,2022-23
24,2006,Buffalo Sabres,Dennis Persson,18,D,SE,VIK Vasteras HK (Sweden-2),,,,,,,,,,,
25,2006,St. Louis Blues,Patrik Berglund,18,C,SE,VIK Vasteras HK (Sweden-2),717,170,156,326,248,,,,,,2018-19
26,2006,Calgary Flames,Leland Irving,18,G,CA,Everett Silvertips (WHL),13,0,1,1,0,3,4,4,3.25,0.902,2012-13
27,2006,Dallas Stars,Ivan Vishnevskiy,18,D,RU,Rouyn-Noranda Huskies (QMJHL),5,0,2,2,2,,,,,,2009-10
28,2006,Ottawa Senators,Nick Foligno,18,LW,US,Sudbury Wolves (OHL),1071,212,307,519,871,,,,,,2022-23
29,2006,Phoenix Coyotes,Chris Summers,18,D,US,USA U-18 Development Team (USDP/NAHL),70,2,7,9,51,,,,,,2015-16
30,2006,New Jersey Devils,Matthew Corrente,18,D,CA,Saginaw Spirit (OHL),34,0,6,6,68,,,,,,2010-11
31,2006,St. Louis Blues,Tomas Kana,18,C,CZ,HC Vitkovice (Czech),6,0,2,2,2,,,,,,2009-10
32,2006,Pittsburgh Penguins,Carl Sneep,18,D,US,Brainerd HS (High-MN),1,0,1,1,0,,,,,,2011-12
33,2006,Chicago Blackhawks,Igor Makarov,18,RW,RU,Krylia Sovetov Moskva (Russia-2),,,,,,,,,,,
34,2006,Washington Capitals,Michal Neuvirth,18,G,CZ,HC Slavia Praha Jr. (Czech Jr.),257,0,4,4,6,105,93,26,2.71,0.910,2018-19
35,2006,Washington Capitals,Francois Bouchard,18,RW,CA,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,
36,2006,San Jose Sharks,Jamie McGinn,18,LW,CA,Ottawa 67's (OHL),617,117,103,220,267,,,,,,2018-19
37,2006,Boston Bruins,Yury Alexandrov,18,D,RU,Severstal Cherepovets (Russia),,,,,,,,,,,
38,2006,Anaheim Ducks,Bryce Swan,18,C,CA,Halifax Mooseheads (QMJHL),,,,,,,,,,,
39,2006,Philadelphia Flyers,Andreas Nodl,19,RW,AT,Sioux Falls Stampede (USHL),183,15,21,36,28,,,,,,2012-13
40,2006,Minnesota Wild,Ondrej Fiala,18,C,CZ,Everett Silvertips (WHL),,,,,,,,,,,
41,2006,Detroit Red Wings,Cory Emmerton,18,C,CA,Kingston Frontenacs (OHL),139,12,9,21,22,,,,,,2013-14
42,2006,Philadelphia Flyers,Mike Ratchuk,18,D,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
43,2006,Atlanta Thrashers,Riley Holzapfel,18,C,CA,Moose Jaw Warriors (WHL),,,,,,,,,,,
44,2006,Toronto Maple Leafs,Nikolai Kulemin,20,LW,RU,Metallurg Magnitogorsk (Russia),669,121,153,274,173,,,,,,2017-18
45,2006,Edmonton Oilers,Jeff Petry,18,D,US,Des Moines Buccaneers (USHL),836,90,248,338,343,,,,,,2022-23
46,2006,Buffalo Sabres,Jhonas Enroth,18,G,SE,Sodertalje SK Jr. (Sweden Jr.),153,0,0,0,2,50,69,16,2.84,0.909,2016-17
47,2006,Detroit Red Wings,Shawn Matthias,18,C,CA,Belleville Bulls (OHL),551,90,84,174,180,,,,,,2017-18
48,2006,Los Angeles Kings,Joe Ryan,18,D,US,Quebec Remparts (QMJHL),,,,,,,,,,,
49,2006,Montreal Canadiens,Ben Maxwell,18,C,CA,Kootenay Ice (WHL),47,2,6,8,19,,,,,,2011-12
50,2006,Boston Bruins,Milan Lucic,18,LW,CA,Vancouver Giants (WHL),1143,230,348,578,1284,,,,,,2022-23
51,2006,Colorado Avalanche,Nigel Williams,18,D,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
52,2006,Washington Capitals,Keith Seabrook,18,D,CA,Burnaby (BCHL),,,,,,,,,,,
53,2006,Montreal Canadiens,Mathieu Carle,18,D,CA,Acadie-Bathurst Titan (QMJHL),3,0,0,0,4,,,,,,2009-10
54,2006,New York Rangers,Artem Anisimov,18,C,RU,Lokomotiv Yaroslavl (Russia),771,180,196,376,214,,,,,,2020-21
55,2006,Philadelphia Flyers,Denis Bodrov,20,D,RU,Lada Togliatti (Russia),,,,,,,,,,,
56,2006,Nashville Predators,Blake Geoffrion,18,C,US,USA U-18 Development Team (USDP/NAHL),55,8,5,13,34,,,,,,2011-12
57,2006,Buffalo Sabres,Mike Weber,18,D,US,Windsor Spitfires (OHL),351,9,44,53,437,,,,,,2015-16
58,2006,New Jersey Devils,Alexander Vasyunov,18,LW,RU,Lokomotiv Yaroslavl 2 (Russia-3),18,1,4,5,0,,,,,,2010-11
59,2006,Colorado Avalanche,Codey Burki,18,C,CA,Brandon Wheat Kings (WHL),,,,,,,,,,,
60,2006,New York Islanders,Jesse Joensuu,18,LW,FI,Assat (Finland),129,13,11,24,77,,,,,,2014-15
61,2006,Chicago Blackhawks,Simon Danis-Pepin,18,D,CA,Maine (H-East),,,,,,,,,,,
62,2006,Detroit Red Wings,Dick Axelsson,19,W,SE,Huddinge IK (Sweden-3),,,,,,,,,,,
63,2006,Carolina Hurricanes,Jamie McBain,18,D,US,USA U-18 Development Team (USDP/NAHL),348,30,80,110,72,,,,,,2016-17
1,2005,Pittsburgh Penguins,Sidney Crosby,18,C,CA,Rimouski Oceanic (QMJHL),1157,541,928,1469,755,,,,,,2022-23
2,2005,Anaheim Ducks,Bobby Ryan,18,LW,US,Owen Sound Attack (OHL),866,261,308,569,470,,,,,,2020-21
3,2005,Carolina Hurricanes,Jack Johnson,18,D,US,USA U-18 Development Team (USDP/NAHL),1072,72,244,316,585,,,,,,2022-23
4,2005,Minnesota Wild,Benoit Pouliot,18,LW,CA,Sudbury Wolves (OHL),625,130,133,263,371,,,,,,2017-18
5,2005,Montreal Canadiens,Carey Price,18,G,CA,Tri-City Americans (WHL),712,0,13,13,51,361,261,79,2.51,0.917,2021-22
6,2005,Columbus Blue Jackets,Gilbert Brule,18,C,CA,Vancouver Giants (WHL),299,43,52,95,156,,,,,,2013-14
7,2005,Chicago Blackhawks,Jack Skille,18,RW,US,USA U-18 Development Team (USDP/NAHL),368,43,41,84,118,,,,,,2016-17
8,2005,San Jose Sharks,Devin Setoguchi,18,RW,CA,Saskatoon Blades (WHL),516,131,130,261,177,,,,,,2016-17
9,2005,Ottawa Senators,Brian Lee,18,D,US,Moorhead HS (High-MN),209,5,31,36,124,,,,,,2012-13
10,2005,Vancouver Canucks,Luc Bourdon,18,D,CA,Val-d'Or Foreurs (QMJHL),36,2,0,2,24,,,,,,2007-8
11,2005,Los Angeles Kings,Anze Kopitar,18,C,SI,Sodertalje SK Jr. (Sweden Jr.),1262,380,727,1107,322,,,,,,2022-23
12,2005,New York Rangers,Marc Staal,18,D,CA,Sudbury Wolves (OHL),1071,49,170,219,496,,,,,,2022-23
13,2005,Buffalo Sabres,Marek Zagrapan,18,C,SK,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,
14,2005,Washington Capitals,Sasha Pokulok,19,D,CA,Cornell (ECAC),,,,,,,,,,,
15,2005,New York Islanders,Ryan O'Marra,18,C,JP,Erie Otters (OHL),33,1,6,7,17,,,,,,2011-12
16,2005,Atlanta Thrashers,Alex Bourret,18,RW,CA,Lewiston MAINEiacs (QMJHL),,,,,,,,,,,
17,2005,Phoenix Coyotes,Martin Hanzal,18,C,CZ,HC Ceske Budejovice Jr. (Czech Jr.),673,127,211,338,574,,,,,,2018-19
18,2005,Nashville Predators,Ryan Parent,18,D,CA,Guelph Storm (OHL),106,1,6,7,36,,,,,,2010-11
19,2005,Detroit Red Wings,Jakub Kindl,18,D,CZ,Kitchener Rangers (OHL),331,16,58,74,181,,,,,,2016-17
20,2005,Florida Panthers,Kenndal McArdle,18,LW,CA,Moose Jaw Warriors (WHL),42,1,2,3,51,,,,,,2011-12
21,2005,Toronto Maple Leafs,Tuukka Rask,18,G,FI,Ilves Jr. (Finland Jr.),564,0,17,17,26,308,165,66,2.28,0.921,2021-22
22,2005,Boston Bruins,Matt Lashoff,18,D,US,Kitchener Rangers (OHL),74,1,15,16,59,,,,,,2010-11
23,2005,New Jersey Devils,Niclas Bergfors,18,RW,SE,Sodertalje SK Jr. (Sweden Jr.),173,35,48,83,20,,,,,,2011-12
24,2005,St. Louis Blues,T.J. Oshie,18,C,US,Warroad HS (High-MN),934,281,371,652,465,,,,,,2022-23
25,2005,Edmonton Oilers,Andrew Cogliano,18,C,CA,St. Michael's (OPJHL),1186,182,256,438,417,,,,,,2022-23
26,2005,Calgary Flames,Matt Pelech,18,RW,CA,Sarnia Sting (OHL),13,1,3,4,38,,,,,,2013-14
27,2005,Washington Capitals,Joe Finley,18,D,US,Sioux Falls Stampede (USHL),21,0,1,1,32,,,,,,2012-13
28,2005,Dallas Stars,Matt Niskanen,18,D,US,Virginia HS (High-MN),949,72,284,356,489,,,,,,2019-20
29,2005,Philadelphia Flyers,Steve Downie,18,RW,CA,Windsor Spitfires (OHL),434,76,120,196,1057,,,,,,2015-16
30,2005,Tampa Bay Lightning,Vladimir Mihalik,18,D,SK,PHK Presov (Slovakia-2),15,0,3,3,8,,,,,,2009-10
31,2005,Anaheim Ducks,Brendan Mikkelson,18,D,CA,Portland Winter Hawks (WHL),131,1,9,10,59,,,,,,2012-13
32,2005,Florida Panthers,Tyler Plante,18,G,US,Brandon Wheat Kings (WHL),,,,,,,,,,,
33,2005,Dallas Stars,James Neal,18,LW,CA,Plymouth Whalers (OHL),869,296,263,559,581,,,,,,2021-22
34,2005,Colorado Avalanche,Ryan Stoa,18,C,US,USA U-18 Development Team (USDP/NAHL),40,4,3,7,20,,,,,,2013-14
35,2005,San Jose Sharks,Marc-Edouard Vlasic,18,D,CA,Quebec Remparts (QMJHL),1211,77,283,360,434,,,,,,2022-23
36,2005,Edmonton Oilers,Taylor Chorney,18,D,CA,Shattuck-St. Mary's School (High-MN),166,4,18,22,56,,,,,,2017-18
37,2005,St. Louis Blues,Scott Jackson,18,D,CA,Seattle Thunderbirds (WHL),1,0,0,0,0,,,,,,2009-10
38,2005,New Jersey Devils,Jeff Frazee,18,G,US,USA U-18 Development Team (USDP/NAHL),1,0,0,0,0,0,0,0,0,1.000,2012-13
39,2005,Boston Bruins,Petr Kalus,18,LW,CZ,HC Vitkovice Jr. (Czech Jr.),11,4,1,5,6,,,,,,2009-10
40,2005,New York Rangers,Michael Sauer,18,D,US,Portland Winter Hawks (WHL),98,4,14,18,96,,,,,,2011-12
41,2005,Atlanta Thrashers,Ondrej Pavelec,18,G,CZ,HC Kladno Jr. (Czech Jr.),398,0,6,6,12,156,167,48,2.88,0.907,2017-18
42,2005,Detroit Red Wings,Justin Abdelkader,18,LW,US,Cedar Rapids Roughriders (USHL),739,106,146,252,608,,,,,,2019-20
43,2005,Chicago Blackhawks,Mike Blunden,18,RW,CA,Erie Otters (OHL),127,7,6,13,145,,,,,,2017-18
44,2005,Colorado Avalanche,Paul Stastny,19,C,CA,Denver (WCHA),1120,288,527,815,498,,,,,,2022-23
45,2005,Montreal Canadiens,Guillaume Latendresse,18,LW,CA,Drummondville Voltigeurs (QMJHL),341,87,60,147,185,,,,,,2012-13
46,2005,New York Islanders,Dustin Kohn,18,D,CA,Calgary Hitmen (WHL),22,0,4,4,4,,,,,,2009-10
47,2005,Colorado Avalanche,Tom Fritsche,18,LW,US,Ohio State (CCHA),,,,,,,,,,,
48,2005,Buffalo Sabres,Philip Gogulla,18,RW,DE,Kolner Haie (Germany),,,,,,,,,,,
49,2005,Atlanta Thrashers,Chad Denny,18,D,CA,Lewiston MAINEiacs (QMJHL),,,,,,,,,,,
50,2005,Los Angeles Kings,Dany Roussin,20,C,CA,Rimouski Oceanic (QMJHL),,,,,,,,,,,
51,2005,Vancouver Canucks,Mason Raymond,19,LW,CA,Camrose (AJHL),546,115,136,251,156,,,,,,2016-17
52,2005,Colorado Avalanche,Chris Durand,18,C,CA,Seattle Thunderbirds (WHL),,,,,,,,,,,
53,2005,Atlanta Thrashers,Andrew Kozek,19,LW,CA,Surrey (BCHL),,,,,,,,,,,
54,2005,Chicago Blackhawks,Dan Bertram,18,RW,CA,Boston College (H-East),,,,,,,,,,,
55,2005,Columbus Blue Jackets,Adam McQuaid,18,D,CA,Sudbury Wolves (OHL),512,16,57,73,694,,,,,,2018-19
56,2005,New York Rangers,Marc-Andre Cliche,18,C,CA,Lewiston MAINEiacs (QMJHL),151,3,11,14,34,,,,,,2014-15
57,2005,Minnesota Wild,Matt Kassian,18,LW,CA,Kamloops Blazers (WHL),76,4,1,5,177,,,,,,2013-14
58,2005,Carolina Hurricanes,Nate Hagemo,18,D,US,Minnesota (WCHA),,,,,,,,,,,
59,2005,Phoenix Coyotes,Pier-Olivier Pelletier,18,G,CA,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,
60,2005,Los Angeles Kings,T.J. Fast,18,D,CA,Camrose (AJHL),,,,,,,,,,,
61,2005,Pittsburgh Penguins,Michael Gergen,18,LW,US,Shattuck-St. Mary's School (High-MN),,,,,,,,,,,
1,2004,Washington Capitals,Alex Ovechkin,18,LW,RU,Dynamo Moskva (Russia),1325,812,652,1464,769,,,,,,2022-23
2,2004,Pittsburgh Penguins,Evgeni Malkin,18,C,RU,Metallurg Magnitogorsk (Russia),1030,463,733,1196,1036,,,,,,2022-23
3,2004,Chicago Blackhawks,Cam Barker,18,D,CA,Medicine Hat Tigers (WHL),310,21,75,96,290,,,,,,2012-13
4,2004,Carolina Hurricanes,Andrew Ladd,18,LW,CA,Calgary Hitmen (WHL),1001,256,294,550,615,,,,,,2021-22
5,2004,Phoenix Coyotes,Blake Wheeler,18,RW,US,Breck School (High-MN),1089,308,596,904,723,,,,,,2022-23
6,2004,New York Rangers,Al Montoya,19,G,US,Michigan (CCHA),168,0,5,5,12,67,49,24,2.65,0.908,2017-18
7,2004,Florida Panthers,Rostislav Olesz,18,LW,CZ,HC Vitkovice (Czech),365,57,77,134,118,,,,,,2013-14
8,2004,Columbus Blue Jackets,Alexandre Picard,18,LW,CA,Lewiston MAINEiacs (QMJHL),67,0,2,2,58,,,,,,2009-10
9,2004,Anaheim Ducks,Ladislav Smid,18,D,CZ,Bili Tygri Liberec (Czech),583,12,60,72,472,,,,,,2015-16
10,2004,Atlanta Thrashers,Boris Valabik,18,D,SK,Kitchener Rangers (OHL),80,0,7,7,210,,,,,,2009-10
11,2004,Los Angeles Kings,Lauri Tukonen,18,RW,FI,Blues (Finland),5,0,0,0,0,,,,,,2007-8
12,2004,Minnesota Wild,A.J. Thelen,18,D,US,Michigan State (CCHA),,,,,,,,,,,
13,2004,Buffalo Sabres,Drew Stafford,18,RW,US,North Dakota (WCHA),841,196,232,428,415,,,,,,2018-19
14,2004,Edmonton Oilers,Devan Dubnyk,18,G,CA,Kamloops Blazers (WHL),542,0,8,8,46,253,206,54,2.61,0.914,2020-21
15,2004,Nashville Predators,Alexander Radulov,18,RW,RU,THK Tver (Russia-2),524,144,224,368,344,,,,,,2021-22
16,2004,New York Islanders,Petteri Nokelainen,18,C,FI,SaiPa (Finland),245,20,21,41,103,,,,,,2011-12
17,2004,St. Louis Blues,Marek Schwarz,18,G,CZ,HC Sparta Praha (Czech),6,0,0,0,0,0,2,0,4.32,0.809,2008-9
18,2004,Montreal Canadiens,Kyle Chipchura,18,C,CA,Prince Albert Raiders (WHL),482,31,73,104,376,,,,,,2015-16
19,2004,New York Rangers,Lauri Korpikoski,18,LW,FI,TPS Jr. (Finland Jr.),609,86,115,201,132,,,,,,2016-17
20,2004,New Jersey Devils,Travis Zajac,19,C,CA,Salmon Arm (BCHL),1037,203,349,552,344,,,,,,2020-21
21,2004,Colorado Avalanche,Wojtek Wolski,18,LW,PL,Brampton Battalion (OHL),451,99,168,267,113,,,,,,2012-13
22,2004,San Jose Sharks,Lukas Kaspar,18,RW,CZ,HC Chemopetrol (Czech),16,2,2,4,8,,,,,,2008-9
23,2004,Ottawa Senators,Andrej Meszaros,18,D,SK,HK Dukla Trencin (Slovakia),645,63,175,238,457,,,,,,2014-15
24,2004,Calgary Flames,Kris Chucko,18,LW,CA,Salmon Arm (BCHL),2,0,0,0,2,,,,,,2008-9
25,2004,Edmonton Oilers,Rob Schremp,18,C,US,London Knights (OHL),114,20,34,54,26,,,,,,2010-11
26,2004,Vancouver Canucks,Cory Schneider,18,G,US,Phillips Andover Academy (High-MA),410,0,9,9,4,171,159,58,2.43,0.918,2021-22
27,2004,Washington Capitals,Jeff Schultz,18,D,CA,Calgary Hitmen (WHL),409,11,65,76,137,,,,,,2015-16
28,2004,Dallas Stars,Mark Fistric,18,D,CA,Vancouver Giants (WHL),325,4,30,34,284,,,,,,2014-15
29,2004,Washington Capitals,Mike Green,18,D,CA,Saskatoon Blades (WHL),880,150,351,501,592,,,,,,2019-20
30,2004,Tampa Bay Lightning,Andy Rogers,18,D,CA,Calgary Hitmen (WHL),,,,,,,,,,,
31,2004,Pittsburgh Penguins,Johannes Salmonsson,18,LW,SE,Djurgardens IF (Sweden),,,,,,,,,,,
32,2004,Chicago Blackhawks,Dave Bolland,18,C,CA,London Knights (OHL),433,85,123,208,299,,,,,,2015-16
33,2004,Washington Capitals,Chris Bourque,18,C,US,Cushing Academy (High-MA),51,2,6,8,18,,,,,,2012-13
34,2004,Dallas Stars,Johan Fransson,19,D,SE,Lulea HF (Sweden),,,,,,,,,,,
35,2004,Phoenix Coyotes,Logan Stephenson,18,D,CA,Tri-City Americans (WHL),,,,,,,,,,,
36,2004,New York Rangers,Darin Olver,19,C,CA,Northern Michigan (CCHA),,,,,,,,,,,
37,2004,Florida Panthers,David Shantz,18,G,CA,Mississagua IceDogs (OHL),,,,,,,,,,,
38,2004,Carolina Hurricanes,Justin Peters,18,G,CA,Toronto St. Michael's Majors (OHL),83,0,2,2,8,25,38,9,3.08,0.901,2016-17
39,2004,Anaheim Ducks,Jordan Smith,18,D,CA,Soo Greyhounds (OHL),,,,,,,,,,,
40,2004,Atlanta Thrashers,Grant Lewis,19,D,US,Dartmouth (ECAC),1,0,0,0,0,,,,,,2008-9
41,2004,Chicago Blackhawks,Bryan Bickell,18,LW,CA,Ottawa 67's (OHL),395,66,70,136,192,,,,,,2016-17
42,2004,Minnesota Wild,Roman Voloshenko,18,LW,BY,Krylja Sovetov Moskva (Russia-2),,,,,,,,,,,
43,2004,Buffalo Sabres,Michael Funk,18,D,CA,Portland Winter Hawks (WHL),9,0,2,2,0,,,,,,2007-8
