Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
49,2010,Colorado Avalanche,Calvin Pickard,18,G,CA,Seattle Thunderbirds (WHL),116,0,3,3,4,35,54,10,3.04,0.903,2021-22
50,2010,Florida Panthers,Connor Brickley,18,C,US,Des Moines Buccaneers (USHL),81,6,15,21,42,,,,,,2018-19
51,2010,Detroit Red Wings,Calle Jarnkrok,18,C,SE,Brynas IF (Sweden),618,117,148,265,131,,,,,,2022-23
52,2010,Phoenix Coyotes,Phil Lane,18,RW,US,Brampton Battalion (OHL),,,,,,,,,,,
53,2010,Carolina Hurricanes,Mark Alt,18,D,US,Cretin-Derham Hall (High-MN),20,0,0,0,4,,,,,,2020-21
54,2010,Chicago Blackhawks,Justin Holl,18,D,US,Minnetonka HS (High-MN),256,11,63,74,135,,,,,,2022-23
55,2010,Columbus Blue Jackets,Petr Straka,18,RW,CZ,Rimouski Oceanic (QMJHL),3,0,2,2,0,,,,,,2014-15
56,2010,Minnesota Wild,Johan Larsson,18,LW,SE,Brynas IF Jr. (Sweden Jr.),488,53,79,132,246,,,,,,2021-22
57,2010,Phoenix Coyotes,Oscar Lindberg,18,C,SE,Skelleftea AIK (Sweden),252,39,40,79,117,,,,,,2018-19
58,2010,Chicago Blackhawks,Kent Simpson,18,G,CA,Everett Silvertips (WHL),1,0,0,0,0,0,0,0,6.00,0.714,2013-14
59,2010,Minnesota Wild,Jason Zucker,18,LW,US,USA U-18 Development Team (USDP/USHL),595,168,152,320,230,,,,,,2022-23
60,2010,Chicago Blackhawks,Stephen Johns,18,D,US,USA U-18 Development Team (USDP/USHL),167,15,18,33,93,,,,,,2019-20
1,2009,New York Islanders,John Tavares,18,C,CA,London Knights (OHL),1000,412,534,946,435,,,,,,2022-23
2,2009,Tampa Bay Lightning,Victor Hedman,18,D,SE,MODO Hockey (Sweden),943,138,498,636,644,,,,,,2022-23
3,2009,Colorado Avalanche,Matt Duchene,18,C,CA,Brampton Battalion (OHL),952,308,418,726,262,,,,,,2022-23
4,2009,Atlanta Thrashers,Evander Kane,18,LW,CA,Vancouver Giants (WHL),830,292,267,559,1068,,,,,,2022-23
5,2009,Los Angeles Kings,Brayden Schenn,18,C,CA,Brandon Wheat Kings (WHL),827,232,329,561,452,,,,,,2022-23
6,2009,Phoenix Coyotes,Oliver Ekman-Larsson,18,D,SE,Leksands IF (Sweden-2),896,134,302,436,554,,,,,,2022-23
7,2009,Toronto Maple Leafs,Nazem Kadri,18,C,CA,London Knights (OHL),789,238,312,550,625,,,,,,2022-23
8,2009,Dallas Stars,Scott Glennie,18,RW,CA,Brandon Wheat Kings (WHL),1,0,0,0,2,,,,,,2011-12
9,2009,Ottawa Senators,Jared Cowen,18,D,CA,Spokane Chiefs (WHL),249,15,31,46,174,,,,,,2015-16
10,2009,Edmonton Oilers,Magnus Paajarvi,18,LW,SE,Timra IK (Sweden),467,62,62,124,78,,,,,,2018-19
11,2009,Nashville Predators,Ryan Ellis,18,D,CA,Windsor Spitfires (OHL),566,76,199,275,189,,,,,,2021-22
12,2009,New York Islanders,Calvin de Haan,18,D,CA,Oshawa Generals (OHL),560,21,107,128,213,,,,,,2022-23
13,2009,Buffalo Sabres,Zack Kassian,18,RW,CA,Peterborough Petes (OHL),643,91,111,202,897,,,,,,2022-23
14,2009,Florida Panthers,Dmitry Kulikov,18,D,RU,Drummondville Voltigeurs (QMJHL),855,44,164,208,522,,,,,,2022-23
15,2009,Anaheim Ducks,Peter Holland,18,C,CA,Guelph Storm (OHL),266,36,49,85,112,,,,,,2017-18
16,2009,Minnesota Wild,Nick Leddy,18,D,US,Eden Priarie HS (High-MN),898,69,304,373,181,,,,,,2022-23
17,2009,St. Louis Blues,David Rundblad,18,D,SE,Skelleftea AIK (Sweden),113,4,21,25,30,,,,,,2015-16
18,2009,Montreal Canadiens,Louis Leblanc,18,C,CA,Omaha Lancers (USHL),50,5,5,10,32,,,,,,2013-14
19,2009,New York Rangers,Chris Kreider,18,C,US,Phillips Andover Academy (High-MA),700,249,205,454,515,,,,,,2022-23
20,2009,New Jersey Devils,Jacob Josefson,18,C,SE,Djurgardens IF (Sweden),315,20,44,64,84,,,,,,2017-18
21,2009,Columbus Blue Jackets,John Moore,18,D,US,Chicago Steel (USHL),544,38,80,118,227,,,,,,2021-22
22,2009,Vancouver Canucks,Jordan Schroeder,18,C,US,Minnesota (WCHA),165,18,24,42,14,,,,,,2017-18
23,2009,Calgary Flames,Tim Erixon,18,D,US,Skelleftea AIK (Sweden),93,2,12,14,38,,,,,,2014-15
24,2009,Washington Capitals,Marcus Johansson,18,C/W,SE,Farjestad BK (Sweden),805,157,276,433,118,,,,,,2022-23
25,2009,Boston Bruins,Jordan Caron,18,RW,CA,Rimouski Oceanic (QMJHL),157,12,16,28,78,,,,,,2015-16
26,2009,Anaheim Ducks,Kyle Palmieri,18,RW,US,USA U-18 Development Team (USDP/NAHL),706,206,200,406,375,,,,,,2022-23
27,2009,Carolina Hurricanes,Philippe Paradis,18,C,CA,Shawinigan Cataractes (QMJHL),,,,,,,,,,,
28,2009,Chicago Blackhawks,Dylan Olsen,18,D,US,Camrose (AJHL),124,5,17,22,36,,,,,,2015-16
29,2009,Tampa Bay Lightning,Carter Ashton,18,RW,CA,Lethbridge Hurricanes (WHL),54,0,3,3,32,,,,,,2014-15
30,2009,Pittsburgh Penguins,Simon Despres,18,D,CA,Saint John Sea Dogs (QMJHL),193,6,37,43,150,,,,,,2016-17
31,2009,New York Islanders,Mikko Koskinen,21,G,FI,Blues (Finland),168,0,4,4,6,85,60,13,3.01,0.906,2021-22
32,2009,Detroit Red Wings,Landon Ferraro,18,C,CA,Red Deer Rebels (WHL),77,7,5,12,29,,,,,,2017-18
33,2009,Colorado Avalanche,Ryan O'Reilly,18,C,CA,Erie Otters (OHL),975,250,438,688,142,,,,,,2022-23
34,2009,Atlanta Thrashers,Carl Klingberg,18,LW,SE,Frolunda HC Jr. (Sweden Jr.),12,1,0,1,4,,,,,,2014-15
35,2009,Los Angeles Kings,Kyle Clifford,18,LW,CA,Barrie Colts (OHL),753,66,78,144,905,,,,,,2022-23
36,2009,Phoenix Coyotes,Chris Brown,18,C,US,USA U-18 Development Team (USDP/NAHL),23,2,1,3,21,,,,,,2015-16
37,2009,Anaheim Ducks,Mat Clark,18,D,US,Brampton Battalion (OHL),9,0,1,1,6,,,,,,2014-15
38,2009,Dallas Stars,Alex Chiasson,18,RW,CA,Des Moines Buccaneers (USHL),631,114,110,224,353,,,,,,2021-22
39,2009,Ottawa Senators,Jakob Silfverberg,18,LW,SE,Brynas IF Jr. (Sweden Jr.),707,156,184,340,220,,,,,,2022-23
40,2009,Edmonton Oilers,Anton Lander,18,C,SE,Timra IK (Sweden),215,10,25,35,56,,,,,,2016-17
41,2009,Nashville Predators,Zach Budish,18,RW,US,Edina HS (High-MN),,,,,,,,,,,
42,2009,Nashville Predators,Charles-Olivier Roussel,18,D,CA,Shawinigan Cataractes (QMJHL),,,,,,,,,,,
43,2009,San Jose Sharks,William Wrenn,18,D,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
44,2009,Florida Panthers,Drew Shore,18,C,US,USA U-18 Development Team (USDP/NAHL),98,9,17,26,30,,,,,,2020-21
45,2009,Atlanta Thrashers,Jeremy Morin,18,LW,US,USA U-18 Development Team (USDP/NAHL),82,10,12,22,69,,,,,,2014-15
46,2009,Ottawa Senators,Robin Lehner,18,G,SE,Frolunda HC Jr. (Sweden Jr.),364,0,6,6,36,152,141,49,2.71,0.917,2021-22
47,2009,New York Rangers,Ethan Werek,18,C,CA,Kingston Frontenacs (OHL),,,,,,,,,,,
48,2009,St. Louis Blues,Brett Ponich,18,D,CA,Portland Winter Hawks (WHL),,,,,,,,,,,
49,2009,Colorado Avalanche,Stefan Elliott,18,D,CA,Saskatoon Blades (WHL),87,8,17,25,16,,,,,,2018-19
50,2009,Toronto Maple Leafs,Kenny Ryan,18,RW,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
51,2009,Carolina Hurricanes,Brian Dumoulin,18,D,US,New Hampshire (EJHL),513,18,108,126,140,,,,,,2022-23
52,2009,Tampa Bay Lightning,Richard Panik,18,RW,SK,HC Ocelari Trinec (Czech),521,88,107,195,274,,,,,,2021-22
53,2009,Vancouver Canucks,Anton Rodin,18,RW,SE,Brynas IF Jr. (Sweden Jr.),3,0,1,1,0,,,,,,2016-17
54,2009,New Jersey Devils,Eric Gelinas,18,D,CA,Lewiston MAINEiacs (QMJHL),189,14,41,55,92,,,,,,2016-17
55,2009,Washington Capitals,Dmitry Orlov,18,D,RU,Metallurg Novokuznetsk (Russia),679,60,194,254,275,,,,,,2022-23
56,2009,Columbus Blue Jackets,Kevin Lynch,18,C,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
57,2009,San Jose Sharks,Taylor Doherty,18,D,CA,Kingston Frontenacs (OHL),,,,,,,,,,,
58,2009,Toronto Maple Leafs,Jesse Blacker,18,D,CA,Windsor Spitfires (OHL),1,0,0,0,0,,,,,,2014-15
59,2009,Chicago Blackhawks,Brandon Pirri,18,C,CA,Georgetown (OJHL),276,72,49,121,91,,,,,,2020-21
60,2009,Detroit Red Wings,Tomas Tatar,18,C,SK,HKM Zvolen (Slovakia),750,201,233,434,266,,,,,,2022-23
